File Name,File Size,Zipped File Size,Compression Ratio (Non-BWT Text),File Name,File Size,BWT Zipped File Size,Compression Ratio (BWT Text)
,2000,1158,1.727115717,,2000,1169,1.710863986
,2000,1159,1.725625539,,2000,1167,1.713796058
,2000,1167,1.713796058,,2000,1166,1.715265866
,2000,1165,1.716738197,,2000,1167,1.713796058
,2000,1161,1.722652885,,2000,1171,1.70794193
,2000,1163,1.719690456,,2000,1165,1.716738197
,2000,1170,1.709401709,,2000,1165,1.716738197
,2000,1166,1.715265866,,2000,1168,1.712328767
,2000,1166,1.715265866,,2000,1170,1.709401709
,2000,1163,1.719690456,,2000,1173,1.705029838
,2000,1157,1.72860847,,2000,1163,1.719690456
,2000,1160,1.724137931,,2000,1168,1.712328767
,2000,1159,1.725625539,,2000,1169,1.710863986
,2000,1162,1.721170396,,2000,1162,1.721170396
,2000,1159,1.725625539,,2000,1172,1.706484642
,2000,1156,1.730103806,,2000,1170,1.709401709
,2000,1162,1.721170396,,2000,1161,1.722652885
,2000,1162,1.721170396,,2000,1163,1.719690456
,2000,1153,1.734605377,,2000,1165,1.716738197
,2000,1160,1.724137931,,2000,1165,1.716738197
,2000,1161,1.722652885,,2000,1167,1.713796058
,2000,1160,1.724137931,,2000,1168,1.712328767
,2000,1157,1.72860847,,2000,1164,1.718213058
,2000,1160,1.724137931,,2000,1158,1.727115717
,2000,1159,1.725625539,,2000,1173,1.705029838
,2000,1160,1.724137931,,2000,1164,1.718213058
,2000,1167,1.713796058,,2000,1167,1.713796058
,2000,1172,1.706484642,,2000,1167,1.713796058
,2000,1164,1.718213058,,2000,1169,1.710863986
,2000,1158,1.727115717,,2000,1173,1.705029838
,2000,1160,1.724137931,,2000,1172,1.706484642
,2000,1160,1.724137931,,2000,1170,1.709401709
,2000,1168,1.712328767,,2000,1169,1.710863986
,2000,1156,1.730103806,,2000,1169,1.710863986
,2000,1166,1.715265866,,2000,1162,1.721170396
,2000,1159,1.725625539,,2000,1160,1.724137931
,2000,1163,1.719690456,,2000,1169,1.710863986
,2000,1158,1.727115717,,2000,1161,1.722652885
,2000,1163,1.719690456,,2000,1169,1.710863986
,2000,1164,1.718213058,,2000,1165,1.716738197
,2000,1161,1.722652885,,2000,1164,1.718213058
,2000,1160,1.724137931,,2000,1163,1.719690456
,2000,1157,1.72860847,,2000,1171,1.70794193
,2000,1168,1.712328767,,2000,1166,1.715265866
,2000,1161,1.722652885,,2000,1164,1.718213058
,2000,1163,1.719690456,,2000,1165,1.716738197
,2000,1162,1.721170396,,2000,1166,1.715265866
,2000,1163,1.719690456,,2000,1167,1.713796058
,2000,1166,1.715265866,,2000,1168,1.712328767
,2000,1164,1.718213058,,2000,1160,1.724137931
,2000,1161,1.722652885,,2000,1162,1.721170396
,5000,2681,1.864975755,,5000,2685,1.862197393
,5000,2703,1.849796522,,5000,2701,1.851166235
,5000,2681,1.864975755,,5000,2707,1.84706317
,5000,2694,1.855976244,,5000,2689,1.859427296
,5000,2688,1.860119048,,5000,2681,1.864975755
,5000,2688,1.860119048,,5000,2690,1.858736059
,5000,2697,1.853911754,,5000,2704,1.849112426
,5000,2689,1.859427296,,5000,2685,1.862197393
,5000,2678,1.867064974,,5000,2692,1.857355126
,5000,2704,1.849112426,,5000,2696,1.854599407
,5000,2695,1.85528757,,5000,2700,1.851851852
,5000,2695,1.85528757,,5000,2703,1.849796522
,5000,2682,1.864280388,,5000,2702,1.850481125
,5000,2691,1.858045336,,5000,2693,1.856665429
,5000,2692,1.857355126,,5000,2700,1.851851852
,5000,2687,1.860811314,,5000,2699,1.852537977
,5000,2695,1.85528757,,5000,2689,1.859427296
,5000,2690,1.858736059,,5000,2701,1.851166235
,5000,2690,1.858736059,,5000,2697,1.853911754
,5000,2701,1.851166235,,5000,2703,1.849796522
,5000,2687,1.860811314,,5000,2682,1.864280388
,5000,2683,1.863585539,,5000,2701,1.851166235
,5000,2681,1.864975755,,5000,2689,1.859427296
,5000,2687,1.860811314,,5000,2696,1.854599407
,5000,2687,1.860811314,,5000,2690,1.858736059
,5000,2707,1.84706317,,5000,2697,1.853911754
,5000,2695,1.85528757,,5000,2699,1.852537977
,5000,2675,1.869158879,,5000,2684,1.862891207
,5000,2703,1.849796522,,5000,2694,1.855976244
,5000,2676,1.868460389,,5000,2695,1.85528757
