File Name,File Size,Zipped File Size (Non-BWT Text),Compression Ratio (Non-BWT Text),File Name,File Size (BWT Text),Zipped File Size (BWT Text),Compression Ratio (BWT Text)
,2000,1325,1.509433962,,2000,1333,1.500375094
,2000,1327,1.507159005,,2000,1338,1.494768311
,2000,1329,1.504890895,,2000,1336,1.497005988
,2000,1330,1.503759398,,2000,1330,1.503759398
,2000,1331,1.502629602,,2000,1334,1.499250375
,2000,1327,1.507159005,,2000,1335,1.498127341
,2000,1329,1.504890895,,2000,1341,1.49142431
,2000,1330,1.503759398,,2000,1334,1.499250375
,2000,1332,1.501501502,,2000,1336,1.497005988
,2000,1333,1.500375094,,2000,1331,1.502629602
,2000,1329,1.504890895,,2000,1334,1.499250375
,2000,1332,1.501501502,,2000,1335,1.498127341
,2000,1330,1.503759398,,2000,1338,1.494768311
,2000,1329,1.504890895,,2000,1332,1.501501502
,2000,1330,1.503759398,,2000,1339,1.493651979
,2000,1328,1.506024096,,2000,1334,1.499250375
,2000,1330,1.503759398,,2000,1340,1.492537313
,2000,1329,1.504890895,,2000,1333,1.500375094
,2000,1328,1.506024096,,2000,1338,1.494768311
,2000,1329,1.504890895,,2000,1335,1.498127341
,2000,1328,1.506024096,,2000,1336,1.497005988
,2000,1329,1.504890895,,2000,1335,1.498127341
,2000,1327,1.507159005,,2000,1331,1.502629602
,2000,1333,1.500375094,,2000,1339,1.493651979
,2000,1332,1.501501502,,2000,1333,1.500375094
,2000,1329,1.504890895,,2000,1331,1.502629602
,2000,1331,1.502629602,,2000,1339,1.493651979
,2000,1329,1.504890895,,2000,1337,1.495886313
,2000,1328,1.506024096,,2000,1336,1.497005988
,2000,1329,1.504890895,,2000,1335,1.498127341
,2000,1333,1.500375094,,2000,1333,1.500375094
,2000,1328,1.506024096,,2000,1333,1.500375094
,2000,1328,1.506024096,,2000,1332,1.501501502
,2000,1325,1.509433962,,2000,1334,1.499250375
,2000,1329,1.504890895,,2000,1337,1.495886313
,2000,1329,1.504890895,,2000,1333,1.500375094
,2000,1332,1.501501502,,2000,1335,1.498127341
,2000,1330,1.503759398,,2000,1333,1.500375094
,2000,1331,1.502629602,,2000,1336,1.497005988
,2000,1330,1.503759398,,2000,1336,1.497005988
,2000,1329,1.504890895,,2000,1337,1.495886313
,2000,1329,1.504890895,,2000,1336,1.497005988
,2000,1331,1.502629602,,2000,1337,1.495886313
,2000,1328,1.506024096,,2000,1338,1.494768311
,2000,1328,1.506024096,,2000,1338,1.494768311
,2000,1329,1.504890895,,2000,1333,1.500375094
,2000,1327,1.507159005,,2000,1335,1.498127341
,2000,1331,1.502629602,,2000,1337,1.495886313
,2000,1330,1.503759398,,2000,1340,1.492537313
,2000,1331,1.502629602,,2000,1339,1.493651979
,2000,1326,1.508295626,,2000,1340,1.492537313
,2000,1332,1.501501502,,2000,1337,1.495886313
,2000,1330,1.503759398,,2000,1336,1.497005988
,2000,1329,1.504890895,,2000,1330,1.503759398
,2000,1327,1.507159005,,2000,1333,1.500375094
,2000,1332,1.501501502,,2000,1333,1.500375094
,2000,1325,1.509433962,,2000,1337,1.495886313
,2000,1322,1.512859304,,2000,1333,1.500375094
,2000,1329,1.504890895,,2000,1333,1.500375094
,2000,1328,1.506024096,,2000,1336,1.497005988
,2000,1330,1.503759398,,2000,1338,1.494768311
,2000,1327,1.507159005,,2000,1333,1.500375094
,2000,1328,1.506024096,,2000,1335,1.498127341
,2000,1332,1.501501502,,2000,1335,1.498127341
,2000,1330,1.503759398,,2000,1334,1.499250375
,2000,1324,1.510574018,,2000,1336,1.497005988
,2000,1331,1.502629602,,2000,1335,1.498127341
,2000,1332,1.501501502,,2000,1336,1.497005988
,5000,3132,1.59642401,,5000,3137,1.593879503
,5000,3131,1.596933887,,5000,3142,1.591343094
,5000,3135,1.594896332,,5000,3145,1.589825119
,5000,3129,1.597954618,,5000,3137,1.593879503
,5000,3135,1.594896332,,5000,3141,1.591849729
,5000,3138,1.593371574,,5000,3146,1.589319771
,5000,3137,1.593879503,,5000,3139,1.592863969
,5000,3135,1.594896332,,5000,3141,1.591849729
,5000,3133,1.595914459,,5000,3137,1.593879503
,5000,3129,1.597954618,,5000,3140,1.592356688
,5000,3132,1.59642401,,5000,3140,1.592356688
