File Name,File Size,Zipped File Size,Compression Ratio (Non-BWT Text),,,,Compression Ratio (BWT Text)
,5000,1786,2.799552072,5000,,1799,2.779321845
,5000,1781,2.807411567,5000,,1791,2.79173646
,5000,1787,2.79798545,5000,,1794,2.787068004
,5000,1782,2.805836139,5000,,1787,2.79798545
,5000,1777,2.813731007,5000,,1785,2.801120448
,10000,3334,2.99940012,10000,,3307,3.023888721
,10000,3349,2.98596596,10000,,3341,2.993115834
,10000,3341,2.993115834,10000,,3334,2.99940012
,10000,3316,3.015681544,10000,,3327,3.005710851
,10000,3338,2.995805872,10000,,3333,3.00030003
,10000,3356,2.979737783,10000,,3346,2.988643156
,10000,3327,3.005710851,10000,,3333,3.00030003
,10000,3335,2.99850075,10000,,3330,3.003003003
,10000,3319,3.01295571,10000,,3333,3.00030003
,10000,3313,3.018412315,10000,,3353,2.982403817
,10000,3329,3.003905077,10000,,3327,3.005710851
,10000,3354,2.981514609,10000,,3339,2.994908655
,10000,3323,3.00932892,10000,,3326,3.006614552
,10000,3352,2.983293556,10000,,3329,3.003905077
,10000,3338,2.995805872,10000,,3330,3.003003003
,10000,3342,2.992220227,10000,,3344,2.990430622
,10000,3323,3.00932892,10000,,3341,2.993115834
,10000,3331,3.002101471,10000,,3352,2.983293556
,10000,3338,2.995805872,10000,,3346,2.988643156
,10000,3307,3.023888721,10000,,3335,2.99850075
,10000,3331,3.002101471,10000,,3351,2.984183826
,10000,3341,2.993115834,10000,,3339,2.994908655
,10000,3329,3.003905077,10000,,3335,2.99850075
,10000,3322,3.010234798,10000,,3333,3.00030003
,10000,3319,3.01295571,10000,,3345,2.989536622
,10000,3335,2.99850075,10000,,3336,2.997601918
,10000,3319,3.01295571,10000,,3337,2.996703626
,10000,3325,3.007518797,10000,,3357,2.978850164
,10000,3343,2.991325157,10000,,3347,2.987750224
,10000,3351,2.984183826,10000,,3329,3.003905077
,10000,3335,2.99850075,10000,,3334,2.99940012
,10000,3327,3.005710851,10000,,3335,2.99850075
,10000,3322,3.010234798,10000,,3334,2.99940012
,10000,3338,2.995805872,10000,,3345,2.989536622
,10000,3323,3.00932892,10000,,3344,2.990430622
,10000,3337,2.996703626,10000,,3327,3.005710851
,10000,3344,2.990430622,10000,,3329,3.003905077
,10000,3321,3.011141223,10000,,3339,2.994908655
,10000,3348,2.986857826,10000,,3329,3.003905077
,10000,3337,2.996703626,10000,,3353,2.982403817
,10000,3312,3.019323671,10000,,3335,2.99850075
,10000,3336,2.997601918,10000,,3323,3.00932892
,10000,3327,3.005710851,10000,,3330,3.003003003
,10000,3316,3.015681544,10000,,3331,3.002101471
,10000,3328,3.004807692,10000,,3331,3.002101471
,10000,3350,2.985074627,10000,,3327,3.005710851
,10000,3320,3.012048193,10000,,3337,2.996703626
,10000,3350,2.985074627,10000,,3318,3.013863773
,10000,3315,3.016591252,10000,,3328,3.004807692
,10000,3326,3.006614552,10000,,3321,3.011141223
,10000,3322,3.010234798,10000,,3355,2.980625931
,10000,3312,3.019323671,10000,,3317,3.014772385
,10000,3331,3.002101471,10000,,3319,3.01295571
,10000,3335,2.99850075,10000,,3332,3.00120048
,10000,3331,3.002101471,10000,,3362,2.974419988
,10000,3329,3.003905077,10000,,3343,2.991325157
,10000,3361,2.975304969,10000,,3332,3.00120048
,10000,3330,3.003003003,10000,,3319,3.01295571
,10000,3327,3.005710851,10000,,3351,2.984183826
,10000,3317,3.014772385,10000,,3343,2.991325157
,10000,3342,2.992220227,10000,,3333,3.00030003
,10000,3332,3.00120048,10000,,3325,3.007518797
,10000,3320,3.012048193,10000,,3330,3.003003003
,10000,3313,3.018412315,10000,,3353,2.982403817
,10000,3324,3.008423586,10000,,3343,2.991325157
,10000,3323,3.00932892,10000,,3346,2.988643156
,10000,3327,3.005710851,10000,,3340,2.994011976
,10000,3342,2.992220227,10000,,3343,2.991325157
,10000,3330,3.003003003,10000,,3336,2.997601918
,10000,3344,2.990430622,10000,,3326,3.006614552
,10000,3336,2.997601918,10000,,3338,2.995805872
,10000,3333,3.00030003,10000,,3326,3.006614552
,10000,3324,3.008423586,10000,,3345,2.989536622
,10000,3325,3.007518797,10000,,3345,2.989536622
,10000,3340,2.994011976,10000,,3331,3.002101471
,10000,3344,2.990430622,10000,,3340,2.994011976
,10000,3343,2.991325157,10000,,3344,2.990430622
,10000,3327,3.005710851,10000,,3338,2.995805872
,10000,3331,3.002101471,10000,,3339,2.994908655
,10000,3332,3.00120048,10000,,3341,2.993115834
,10000,3329,3.003905077,10000,,3347,2.987750224
,10000,3317,3.014772385,10000,,3344,2.990430622
,10000,3325,3.007518797,10000,,3327,3.005710851
,10000,3335,2.99850075,10000,,3331,3.002101471
,10000,3332,3.00120048,10000,,3347,2.987750224
,10000,3333,3.00030003,10000,,3349,2.98596596
,10000,3331,3.002101471,10000,,3347,2.987750224
,10000,3332,3.00120048,10000,,3355,2.980625931
,10000,3338,2.995805872,10000,,3338,2.995805872
,10000,3319,3.01295571,10000,,3346,2.988643156
,10000,3325,3.007518797,10000,,3355,2.980625931
,10000,3341,2.993115834,10000,,3352,2.983293556
,10000,3341,2.993115834,10000,,3334,2.99940012
,10000,3329,3.003905077,10000,,3336,2.997601918
,10000,3325,3.007518797,10000,,3343,2.991325157
,10000,3329,3.003905077,10000,,3354,2.981514609
,10000,3346,2.988643156,10000,,3324,3.008423586
,10000,3337,2.996703626,10000,,3334,2.99940012
,10000,3342,2.992220227,10000,,3338,2.995805872
,10000,3346,2.988643156,10000,,3357,2.978850164
,15000,4847,3.094697751,15000,,4844,3.096614368
,15000,4852,3.091508656,15000,,4848,3.094059406
,15000,4836,3.101736973,15000,,4882,3.072511266
,15000,4824,3.109452736,15000,,4874,3.07755437
,15000,4853,3.090871626,15000,,4871,3.079449805
,15000,4856,3.088962109,15000,,4857,3.088326127
,15000,4844,3.096614368,15000,,4850,3.092783505
,15000,4857,3.088326127,15000,,4869,3.080714726
,15000,4842,3.097893432,15000,,4855,3.089598352
,15000,4871,3.079449805,15000,,4836,3.101736973
,15000,4862,3.085150144,15000,,4849,3.093421324
,15000,4836,3.101736973,15000,,4834,3.103020273
,15000,4885,3.07062436,15000,,4857,3.088326127
